run_id,success,base_x,base_y,base_yaw,q1,q2,q3,q4,q5,q6,entry_l2_rad,entry_max_delta_rad,planning_wall_time_s,nominal_execution_time_s,alignment_time_s,trajectory_points,min_joint_margin_rad,min_joint_margin_normalized,min_manipulability,min_self_collision_clearance_m,max_joint_speed_rad_s,hybrid_expanded_nodes,ik_rejections,collision_rejections,error
0,1,0.75,2.06,0,0.373876929572,2.13988512963,2.41399062935,-1.41228617788,4.33771582324,0.785300814225,0,0,0.106648522,438.982545044,0,702,0.0677138221197,0.011100626577,0.0274266705783,0.0028084449616,0.05,696,1,0,""
1,1,0.75,2.06,0,0.176660132697,1.87310415112,2.49138262935,-1.2200121254,4.29121968226,0.439124209765,0.524428756826,0.346176604461,3.795958239,445.473356378,6.49081133364,711,0.0677138221197,0.011100626577,0.0222350402871,0.000636935644076,0.079012345679,696,1,0,""
2,1,0.75,2.06,0,0.526660132697,2.10643748445,2.63138262935,-1.1200121254,4.3548560459,0.492970363611,0.492844534443,0.292330450614,3.757062879,444.463740993,5.48119594902,710,0.0677138221197,0.011100626577,0.0190036197631,0.00196239009362,0.08,696,1,0,""
3,1,0.75,2.06,0,0.351660132697,2.33977081778,2.09938262935,-1.4799,4.41849240953,0.546816517457,0.45540895215,0.314608,3.74271381,444.881445044,5.8989,710,0.0001,1.63934426229e-05,0.0274266705783,0.0028084449616,0.08,696,1,0,""
4,1,0.75,2.06,0,0.701660132697,1.9508819289,2.23938262935,-1.4799,4.48212877317,0.600662671303,0.482876759302,0.327783203125,3.731965008,445.128480103,6.1459350591,711,0.0001,1.63934426229e-05,0.0274266705783,0.00280844496171,0.079012345679,696,1,0,""
5,1,0.75,2.06,0,0.0672851326967,2.18421526223,2.37938262935,-1.4799,4.54576513681,0.654508825149,0.402646364018,0.306591796875,3.759269099,444.731141236,5.74859619141,710,0.0001,1.63934426229e-05,0.0274266705783,0.0028084449616,0.08,696,1,0,""
6,1,0.75,2.06,0,0.417285132697,2.41754859556,2.51938262935,-1.40572641112,4.60940150044,0.708354978995,0.412147480129,0.277663465935,3.731309168,444.188735031,5.20618998628,709,0.0677138221197,0.011100626577,0.02601682101,0.0028084449616,0.0783673469388,696,1,0,""
7,1,0.75,2.06,0,0.242285132697,1.82125229927,2.65938262935,-1.30572641112,4.67303786408,0.762201132842,0.55080846535,0.335322040844,3.727085194,445.26983331,6.28728826583,711,0.0677138221197,0.011100626577,0.0143190693321,0.0028084449616,0.079012345679,696,1,0,""
8,1,0.75,2.06,0,0.329785132697,2.13236341038,2.54738262935,-1.4799,4.23336844259,0.977585748226,0.268751909963,0.192284934001,3.652752486,442.587887557,3.60534251252,707,0.0001,1.63934426229e-05,0.0194958799613,0.00081306338445,0.0768,696,1,0,""
9,1,0.75,2.06,0,0.111035132697,1.97680785482,2.15538262935,-1.39144069683,4.36064116987,1.08527805592,0.503492359961,0.299977241693,3.68438281,444.607118326,5.62457328172,710,0.0677138221654,0.0111006265845,0.0274266705783,0.00280844496171,0.08,696,1,0,""
10,1,0.75,2.06,0,0.461035132697,2.21014118815,2.29538262935,-1.29144069683,4.4242775335,0.443266221599,0.407043666359,0.342034592626,3.815954547,445.395693656,6.41314861174,711,0.0677138221197,0.011100626577,0.0274266705783,0.0028084449616,0.079012345679,696,1,0,""
11,1,0.75,2.06,0,0.286035132697,2.44347452149,2.43538262935,-1.19144069683,4.48791389714,0.497112375445,0.504702964072,0.303589391861,3.814611669,444.674846142,5.69230109808,710,0.0677138221654,0.0111006265845,0.0274266705783,0.00280844496171,0.08,696,1,0,""
